round,date,num1,num2,num3,num4,num5,num6,bonus,winnernum,price,carryover
1657,2022/1/24,11,13,16,19,20,38,25,1,200000000,60000000
1656,2022/1/20,11,12,14,28,36,38,37,2,462300000,0
1655,2022/1/17,21,23,31,38,42,43,40,0,0,600000000
1654,2022/1/13,9,10,14,21,22,33,26,0,0,300000000
1653,2022/1/10,2,7,10,12,29,36,6,1,200000000,20000000
1652,2022/1/6,8,15,16,23,38,43,2,2,119840000,0
1651,2021/12/30,7,12,15,21,27,32,28,2,119490000,0
1650,2021/12/27,1,3,15,33,39,43,30,4,132930000,0
1649,2021/12/23,8,16,19,23,29,41,1,0,0,200000000
1648,2021/12/20,2,3,22,26,35,42,38,3,275610000,0
1647,2021/12/16,3,8,14,15,19,35,12,0,0,500000000
1646,2021/12/13,3,19,21,29,39,43,25,0,0,200000000
1645,2021/12/9,2,8,13,14,33,40,6,3,93780000,0
1644,2021/12/6,1,9,14,28,32,40,15,1,200000000,50000000
1643,2021/12/2,10,11,12,15,16,40,33,2,140900000,0
1642,2021/11/29,5,15,16,24,34,39,13,1,200000000,40000000
1641,2021/11/25,2,5,7,12,16,20,33,7,29020000,0
1640,2021/11/22,8,9,19,21,27,30,17,2,401020000,0
1639,2021/11/18,5,9,13,20,26,32,28,0,0,500000000
1638,2021/11/15,21,25,26,35,39,40,18,0,0,300000000
1637,2021/11/11,2,3,11,16,27,36,29,2,103420000,0
1636,2021/11/8,1,12,24,26,30,36,29,4,59740000,0
1635,2021/11/4,4,8,19,32,36,43,30,2,407950000,0
1634,2021/11/1,18,19,20,23,29,35,17,0,0,500000000
1633,2021/10/28,3,7,9,26,35,36,28,0,0,200000000
1632,2021/10/25,1,9,24,28,31,41,2,3,80880000,0
1631,2021/10/21,7,15,23,26,30,35,36,2,116120000,0
1630,2021/10/18,10,11,24,33,34,36,42,4,136550000,0
1629,2021/10/14,19,23,30,31,32,40,13,0,0,300000000
1628,2021/10/11,1,3,10,12,26,42,13,2,563850000,0
1627,2021/10/7,21,22,23,26,36,38,13,0,0,800000000
1626,2021/10/4,9,11,19,23,30,43,27,0,0,500000000
1625,2021/9/30,1,4,8,11,30,42,9,0,0,200000000
1624,2021/9/27,3,5,17,25,33,39,19,4,57630000,0
1623,2021/9/23,7,12,15,17,19,29,22,2,260840000,0
1622,2021/9/20,16,29,34,35,40,41,26,0,0,300000000
1621,2021/9/16,3,10,22,23,26,39,1,1,512060000,0
1620,2021/9/13,7,15,19,24,25,28,11,0,0,200000000
1619,2021/9/6,3,5,17,20,24,38,13,1,582590000,0
1618,2021/9/6,2,10,14,17,37,43,38,0,0,300000000
1617,2021/9/2,2,19,21,24,26,41,23,1,200000000,50000000
1616,2021/8/30,1,4,6,21,34,41,12,1,478270000,0
1615,2021/8/26,2,5,6,13,19,29,25,1,600000000,200000000
1614,2021/8/23,4,5,20,29,40,43,24,0,0,500000000
1613,2021/8/19,9,17,22,25,30,41,15,0,0,200000000
1612,2021/8/16,5,8,12,16,27,38,42,8,25390000,0
1611,2021/8/12,3,14,16,24,32,36,34,2,259020000,0
1610,2021/8/9,1,8,13,22,41,42,40,0,0,300000000
1609,2021/8/5,4,12,16,34,35,41,5,1,200000000,30000000
1608,2021/8/2,10,18,22,23,25,35,19,1,509280000,0
1607,2021/7/29,10,13,14,15,17,22,40,0,0,200000000
1606,2021/7/26,18,23,25,26,32,34,43,1,505790000,0
1605,2021/7/22,2,5,8,20,29,40,6,0,0,200000000
1604,2021/7/19,12,21,23,36,37,38,6,4,303280000,0
1603,2021/7/15,4,6,32,35,40,42,26,0,0,900000000
1602,2021/7/12,1,2,7,14,32,42,33,0,0,600000000
1601,2021/7/8,6,13,17,18,21,41,37,0,0,300000000
1600,2021/7/5,7,14,22,35,37,39,24,1,200000000,50000000
1599,2021/7/1,1,2,20,22,35,38,4,1,337890000,0
1598,2021/6/28,9,11,26,28,39,43,1,1,200000000,60000000
1597,2021/6/24,2,3,8,17,23,32,12,3,454290000,0
1596,2021/6/21,10,15,30,35,42,43,26,0,0,1000000000
1595,2021/6/17,16,21,30,32,40,43,15,1,600000000,700000000
1594,2021/6/14,1,5,6,13,34,36,18,1,600000000,900000000
1593,2021/6/10,6,17,18,35,37,38,16,0,0,1200000000
1592,2021/6/7,4,16,25,30,36,43,19,1,600000000,900000000
1591,2021/6/3,7,9,18,21,26,43,14,1,600000000,1200000000
1590,2021/5/31,10,12,15,29,33,42,17,1,600000000,1400000000
1589,2021/5/27,11,21,25,31,36,39,32,1,600000000,1700000000
1588,2021/5/24,6,16,27,31,32,34,11,0,0,1900000000
1587,2021/5/20,16,21,22,27,36,43,37,0,0,1500000000
1586,2021/5/17,2,13,19,27,40,42,14,0,0,1200000000
1585,2021/5/13,2,6,10,13,16,32,9,0,0,800000000
1584,2021/5/10,13,15,18,30,37,43,9,1,600000000,600000000
1583,2021/5/6,5,7,16,34,39,41,29,0,0,800000000
1582,2021/5/3,18,32,35,36,39,41,28,0,0,500000000
1581,2021/4/29,6,12,30,31,41,43,1,0,0,200000000
1580,2021/4/26,5,7,11,12,24,31,3,9,54370000,0
1579,2021/4/22,23,29,32,33,37,42,1,0,0,300000000
1578,2021/4/19,3,15,17,19,21,34,4,2,273080000,0
1577,2021/4/15,13,14,15,28,37,39,4,0,0,300000000
1576,2021/4/12,5,7,10,17,29,32,37,1,200000000,20000000
1575,2021/4/8,2,8,15,24,32,39,9,5,42570000,0
1574,2021/4/5,1,2,3,20,31,32,13,1,321520000,0
1573,2021/4/1,2,10,16,38,39,43,11,1,200000000,70000000
1572,2021/3/29,4,6,10,19,28,38,40,4,54870000,0
1571,2021/3/25,1,2,5,25,40,41,26,1,447340000,0
1570,2021/3/22,1,19,22,23,31,36,24,1,600000000,200000000
1569,2021/3/18,2,8,29,31,32,33,16,0,0,500000000
1568,2021/3/15,2,5,7,10,16,34,14,0,0,200000000
1567,2021/3/11,5,7,19,26,37,40,34,2,111520000,0
1566,2021/3/8,12,13,20,24,30,35,34,2,139760000,0
1565,2021/3/4,5,9,17,28,30,37,27,1,200000000,20000000
1564,2021/3/1,5,6,18,20,27,37,7,3,268500000,0
1563,2021/2/25,1,12,20,26,35,37,2,0,0,500000000
1562,2021/2/22,2,4,15,16,26,33,25,0,0,200000000
1561,2021/2/18,12,15,26,34,35,38,7,2,149670000,0
1560,2021/2/15,7,19,24,32,40,42,22,1,200000000,40000000
1559,2021/2/11,4,15,17,20,26,31,43,1,480870000,0
1558,2021/2/8,1,12,25,27,39,42,16,1,600000000,200000000
1557,2021/2/4,5,21,22,23,26,39,31,0,0,500000000
1556,2021/2/1,10,19,28,30,38,42,18,0,0,300000000
1555,2021/1/28,2,8,17,23,24,27,5,2,101800000,0
1554,2021/1/25,6,14,16,27,40,42,26,2,124360000,0
1553,2021/1/21,7,8,16,32,41,42,31,4,77870000,0
1552,2021/1/18,5,9,15,30,32,39,11,1,200000000,60000000
1551,2021/1/14,3,14,18,24,38,43,23,3,180900000,0
1550,2021/1/11,8,11,22,32,37,42,41,1,600000000,300000000
1549,2021/1/7,4,5,27,28,35,41,33,0,0,600000000
1548,2021/1/4,18,24,26,35,39,42,32,0,0,300000000
1547,2020/12/28,4,11,14,17,22,39,21,1,200000000,50000000
1546,2020/12/24,1,18,19,24,31,40,16,2,275570000,0
1545,2020/12/21,8,14,15,26,37,43,12,1,600000000,300000000
1544,2020/12/17,3,11,25,26,39,42,34,1,600000000,500000000
1543,2020/12/14,17,21,26,33,36,38,34,0,0,800000000
1542,2020/12/10,11,12,16,17,20,36,18,0,0,500000000
1541,2020/12/7,12,26,28,32,33,35,41,0,0,200000000
1540,2020/12/3,1,20,25,28,33,37,31,2,118850000,0
1539,2020/11/30,13,29,33,37,41,42,43,1,530480000,0
1538,2020/11/26,8,14,19,33,35,40,38,0,0,200000000
1537,2020/11/23,6,13,14,32,33,37,20,1,261380000,0
1536,2020/11/19,2,5,9,30,37,40,28,1,200000000,20000000
1535,2020/11/16,1,9,14,30,35,38,32,2,259480000,0
1534,2020/11/12,1,9,18,22,24,43,39,0,0,200000000
1533,2020/11/9,15,22,27,37,38,41,5,2,117490000,0
1532,2020/11/5,2,9,14,16,17,21,34,2,240050000,0
1531,2020/11/2,2,6,7,10,30,33,14,0,0,200000000
1530,2020/10/29,2,5,10,34,37,40,7,1,512110000,0
1529,2020/10/26,3,19,26,28,33,40,1,0,0,200000000
1528,2020/10/22,1,14,17,34,35,37,16,2,119730000,0
1527,2020/10/19,2,5,9,11,27,32,33,3,68380000,0
1526,2020/10/15,4,17,19,21,39,41,36,3,78740000,0
1525,2020/10/12,3,7,20,21,28,32,24,6,181610000,0
1524,2020/10/8,2,3,15,24,30,43,39,0,0,800000000
1523,2020/10/5,2,15,17,25,34,38,27,0,0,500000000
1522,2020/10/1,5,17,21,22,32,35,41,0,0,200000000
1521,2020/9/28,17,21,22,40,41,42,13,3,83840000,0
1520,2020/9/24,1,6,11,13,30,33,4,2,232860000,0
1519,2020/9/21,5,8,20,21,27,43,9,0,0,200000000
1518,2020/9/17,6,15,16,22,36,41,20,1,291680000,0
1517,2020/9/14,14,25,27,30,39,41,8,1,200000000,50000000
1516,2020/9/10,25,32,34,37,41,42,28,2,253140000,0
1515,2020/9/7,5,9,17,21,27,29,30,0,0,200000000
1514,2020/9/3,11,16,22,29,37,43,5,7,42780000,0
1513,2020/8/31,13,14,18,19,25,42,5,1,200000000,50000000
1512,2020/8/27,1,11,12,24,32,38,39,1,277450000,0
1511,2020/8/24,11,16,22,24,38,40,6,1,200000000,40000000
1510,2020/8/20,8,13,17,18,21,38,23,2,136110000,0
1509,2020/8/17,6,11,12,34,36,41,43,1,200000000,40000000
1508,2020/8/13,9,13,28,29,32,40,41,3,263030000,0
1507,2020/8/10,19,20,22,30,35,43,29,0,0,500000000
1506,2020/8/6,10,12,19,28,35,41,39,0,0,200000000
1505,2020/8/3,1,2,14,15,21,34,19,1,278420000,0
1504,2020/7/30,5,7,9,21,42,43,35,1,200000000,30000000
1503,2020/7/27,1,8,16,35,40,42,20,1,521510000,0
1502,2020/7/23,1,17,25,28,32,42,26,0,0,200000000
1501,2020/7/20,6,10,13,25,31,38,15,26,19930000,0
1500,2020/7/16,19,21,22,28,29,30,4,0,0,300000000
1499,2020/7/13,10,11,27,28,29,37,13,1,536590000,0
1498,2020/7/9,1,6,7,9,31,37,43,0,0,300000000
1497,2020/7/6,6,22,28,30,35,37,8,1,200000000,40000000
1496,2020/7/2,5,9,13,16,17,34,37,2,256140000,0
1495,2020/6/29,18,24,32,34,37,41,22,0,0,200000000
1494,2020/6/25,8,15,17,24,26,38,27,1,262840000,0
1493,2020/6/22,11,18,24,27,37,38,15,1,200000000,30000000
1492,2020/6/18,4,16,18,32,38,42,36,2,181230000,0
1491,2020/6/15,8,11,23,31,34,37,1,1,200000000,100000000
1490,2020/6/11,7,19,24,29,39,43,11,2,365000000,0
1489,2020/6/8,4,6,11,13,23,32,1,0,0,400000000
1488,2020/6/4,4,10,11,17,34,37,38,0,0,200000000
1487,2020/6/1,5,7,9,17,24,35,36,1,246320000,0
1486,2020/5/28,18,24,29,33,39,42,34,1,200000000,20000000
1485,2020/5/25,9,10,18,27,28,35,37,2,466750000,0
1484,2020/5/21,4,12,17,18,23,41,28,0,0,600000000
1483,2020/5/18,3,10,20,23,29,43,22,0,0,400000000
1482,2020/5/14,8,26,28,32,41,43,14,0,0,200000000
1481,2020/5/11,3,9,21,31,41,42,18,1,319780000,0
1480,2020/5/7,2,4,5,6,24,34,39,0,0,100000000
1479,2020/5/4,1,20,30,32,35,37,33,1,334100000,0
1478,2020/4/30,7,12,15,21,40,42,32,0,0,200000000
1477,2020/4/27,4,13,14,25,27,32,1,2,177910000,0
1476,2020/4/23,6,22,38,40,41,42,35,0,0,200000000
1475,2020/4/20,6,7,9,20,21,27,2,3,55890000,0
1474,2020/4/16,4,6,8,22,27,32,26,1,182690000,0
1473,2020/4/13,1,5,6,27,33,38,11,1,181580000,0
1472,2020/4/9,1,6,7,9,23,40,43,1,197820000,0
1471,2020/4/6,1,3,8,32,37,43,24,1,495650000,0
1470,2020/4/2,4,8,14,16,39,40,23,0,0,200000000
1469,2020/3/30,4,9,10,13,24,27,22,2,102080000,0
1468,2020/3/26,4,8,15,24,25,31,26,1,200000000,0
1467,2020/3/23,3,14,16,25,26,38,7,2,240980000,0
1466,2020/3/19,6,10,15,18,32,40,35,0,0,200000000
1465,2020/3/16,11,15,16,24,28,38,3,3,72460000,0
1464,2020/3/12,8,13,14,18,29,31,23,1,504640000,0
1463,2020/3/9,18,29,32,34,35,39,36,0,0,200000000
1462,2020/3/5,4,18,19,28,33,36,9,1,453590000,0
1461,2020/3/2,5,7,8,18,22,26,24,0,0,200000000
1460,2020/2/27,3,6,10,15,29,30,4,3,67940000,0
1459,2020/2/24,2,17,19,24,28,29,7,3,152340000,0
1458,2020/2/20,4,16,19,22,26,29,6,0,0,200000000
1457,2020/2/17,1,3,11,17,20,37,29,2,230610000,0
1456,2020/2/13,2,18,19,24,29,31,33,0,0,200000000
1455,2020/2/10,1,10,12,22,34,43,23,2,139610000,0
1454,2020/2/6,3,15,19,34,37,40,41,1,200000000,40000000
1453,2020/2/3,10,22,26,27,28,41,39,2,148240000,0
1452,2020/1/30,17,19,29,31,37,39,34,1,200000000,40000000
1451,2020/1/27,2,6,10,20,24,43,34,10,21230000,0
1450,2020/1/23,24,25,26,27,34,36,4,2,121330000,0
1449,2020/1/20,6,19,20,26,34,38,4,3,78640000,0
1448,2020/1/16,10,12,25,29,32,41,40,4,57690000,0
1447,2020/1/13,2,9,12,13,14,22,10,3,70390000,0
1446,2020/1/9,2,5,11,20,21,32,13,3,95830000,0
1445,2019/12/30,3,14,24,29,30,42,21,1,507730000,0
1444,2019/12/26,11,20,24,25,30,37,14,0,0,200000000
1443,2019/12/23,2,4,8,10,22,33,28,2,106580000,0
1442,2019/12/19,12,21,35,36,40,43,39,2,122980000,0
1441,2019/12/16,12,22,24,33,35,42,36,1,515890000,0
1440,2019/12/12,1,7,20,31,41,42,28,0,0,200000000
1439,2019/12/9,11,17,23,28,34,41,4,3,77370000,0
1438,2019/12/5,2,5,6,20,33,38,22,2,458650000,0
1437,2019/12/2,3,11,24,25,37,40,14,0,0,600000000
1436,2019/11/28,3,7,17,18,30,36,33,0,0,400000000
1435,2019/11/25,2,4,16,21,22,40,9,1,600000000,200000000
1434,2019/11/21,2,20,30,38,39,40,4,0,0,500000000
1433,2019/11/18,3,5,12,16,38,42,6,0,0,200000000
1432,2019/11/14,4,5,15,32,33,43,13,1,274600000,0
1431,2019/11/11,2,27,28,33,38,40,30,1,200000000,40000000
1430,2019/11/7,4,7,9,12,20,28,3,4,48500000,0
1429,2019/11/4,4,8,13,18,21,23,22,2,260710000,0
1428,2019/10/31,16,18,19,34,35,36,6,0,0,300000000
1427,2019/10/28,1,7,25,26,38,41,31,1,200000000,30000000
1426,2019/10/24,4,13,17,19,30,43,24,2,243870000,0
1425,2019/10/21,1,24,28,33,35,42,27,0,0,200000000
1424,2019/10/17,6,7,25,26,33,36,19,1,224540000,0
1423,2019/10/14,11,24,29,36,37,42,13,1,200000000,0
1422,2019/10/10,12,14,17,20,24,30,39,3,73240000,0
1421,2019/10/7,2,14,20,23,37,43,30,2,237820000,0
1420,2019/10/3,1,2,14,16,22,28,4,0,0,200000000
1419,2019/9/30,5,10,11,12,21,37,41,1,475190000,0
1418,2019/9/26,4,21,32,35,42,43,15,0,0,200000000
1417,2019/9/23,3,10,25,26,27,31,5,3,67390000,0
1416,2019/9/19,2,9,10,15,24,36,13,4,114220000,0
1415,2019/9/16,1,3,7,34,39,40,33,0,0,200000000
1414,2019/9/12,12,19,21,26,40,41,20,1,497550000,0
1413,2019/9/9,7,13,17,21,24,26,12,0,0,200000000
1412,2019/9/5,2,19,24,25,32,42,8,2,111720000,0
1411,2019/9/2,2,5,7,20,25,28,3,3,73920000,0
1410,2019/8/29,8,14,17,25,36,41,23,2,116190000,0
1409,2019/8/26,5,6,8,20,22,25,13,3,378410000,0
1408,2019/8/22,2,17,24,26,34,43,32,0,0,800000000
1407,2019/8/19,10,13,19,28,33,39,15,0,0,500000000
1406,2019/8/15,20,24,27,29,34,35,43,0,0,200000000
1405,2019/8/12,3,4,6,19,23,24,42,2,198310000,0
1404,2019/8/8,2,17,29,37,38,39,5,1,600000000,200000000
1403,2019/8/5,1,3,10,27,34,41,22,0,0,500000000
1402,2019/8/1,10,24,26,33,36,42,28,0,0,200000000
1401,2019/7/29,2,13,23,24,25,33,36,2,392580000,0
1400,2019/7/25,8,10,26,31,34,39,36,0,0,500000000
1399,2019/7/22,7,20,21,33,41,43,8,0,0,200000000
1398,2019/7/18,23,29,34,35,40,43,42,1,270590000,0
1397,2019/7/15,9,18,19,21,25,26,7,1,200000000,20000000
1396,2019/7/11,3,7,11,15,23,41,21,2,128240000,0
1395,2019/7/8,5,16,18,27,30,43,25,1,200000000,50000000
1394,2019/7/4,8,9,35,36,42,43,22,2,421480000,0
1393,2019/7/1,7,11,26,32,42,43,24,0,0,500000000
1392,2019/6/27,6,9,12,19,40,42,7,0,0,200000000
1391,2019/6/24,3,12,23,31,36,42,43,2,403380000,0
1390,2019/6/20,10,11,13,28,34,39,35,0,0,500000000
1389,2019/6/17,6,16,21,23,26,42,43,0,0,200000000
1388,2019/6/13,9,10,12,15,29,37,11,4,52670000,0
1387,2019/6/10,11,27,29,30,37,38,33,1,490840000,0
1386,2019/6/6,4,11,14,15,20,38,35,0,0,200000000
1385,2019/6/3,9,20,28,35,41,43,23,2,128090000,0
1384,2019/5/30,3,6,13,32,38,43,40,1,251410000,0
1383,2019/5/27,2,4,9,15,18,39,24,1,200000000,10000000
1382,2019/5/23,8,9,12,25,26,28,32,4,52120000,0
1381,2019/5/20,2,4,5,16,19,38,25,1,200000000,0
1380,2019/5/16,1,3,24,26,29,33,42,3,90920000,0
1379,2019/5/13,1,2,19,21,24,37,32,1,200000000,30000000
1378,2019/5/9,1,10,15,24,35,43,9,2,117940000,0
1377,2019/5/6,1,7,13,24,40,43,20,2,401810000,0
1376,2019/5/2,2,5,22,31,32,43,27,0,0,500000000
1375,2019/4/29,2,5,21,22,31,38,28,0,0,200000000
1374,2019/4/25,1,4,5,19,23,35,36,1,200000000,20000000
1373,2019/4/22,1,10,13,18,20,41,11,2,256090000,0
1372,2019/4/18,3,5,10,21,33,39,8,0,0,200000000
1371,2019/4/15,4,5,6,7,24,28,30,2,452220000,0
1370,2019/4/11,8,22,24,30,40,41,2,0,0,600000000
1369,2019/4/8,12,15,25,32,41,43,7,0,0,300000000
1368,2019/4/4,6,11,17,20,34,35,10,1,416290000,100000000
1367,2019/4/1,3,8,11,14,22,41,34,1,600000000,100000000
1366,2019/3/28,14,15,17,29,31,39,10,1,600000000,500000000
1365,2019/3/25,4,7,14,20,31,41,32,0,0,800000000
1364,2019/3/21,5,13,14,16,25,27,3,0,0,500000000
1363,2019/3/18,2,5,23,36,37,41,43,0,0,200000000
1362,2019/3/14,8,16,19,28,36,39,1,3,152310000,0
1361,2019/3/11,3,4,12,18,28,38,32,0,0,200000000
1360,2019/3/7,4,9,10,16,17,42,23,2,227320000,0
1359,2019/3/4,6,8,14,18,25,41,9,0,0,200000000
1358,2019/2/28,9,15,23,27,29,40,28,2,107320000,0
1357,2019/2/25,2,3,8,15,19,28,21,5,37310000,0
1356,2019/2/21,4,6,10,16,24,43,12,2,104130000,0
1355,2019/2/18,5,15,27,29,34,37,12,1,270450000,0
1354,2019/2/14,4,25,27,28,32,41,26,1,200000000,30000000
1353,2019/2/11,2,11,12,19,21,24,36,3,151270000,0
1352,2019/2/7,5,6,9,15,19,36,5,0,0,200000000
1351,2019/2/4,8,14,18,22,28,29,5,1,200000000,20000000
1350,2019/1/31,7,8,9,10,20,38,33,1,490950000,0
1349,2019/1/28,2,16,19,32,34,42,33,0,0,200000000
1348,2019/1/24,1,2,14,19,21,33,43,2,113130000,0
1347,2019/1/21,8,10,11,18,36,43,7,2,116190000,0
1346,2019/1/17,5,10,22,27,38,42,36,3,184110000,0
1345,2019/1/14,1,15,26,27,29,33,18,0,0,300000000
1344,2019/1/10,8,16,20,28,37,43,29,1,200000000,40000000
1343,2019/1/7,2,8,10,12,19,23,16,2,149830000,0
1342,2018/12/27,1,4,9,16,23,31,42,1,200000000,30000000
1341,2018/12/24,9,12,15,16,26,39,34,2,243660000,0
1340,2018/12/20,6,15,18,20,26,29,9,0,0,200000000
1339,2018/12/17,1,10,15,33,34,42,39,1,265960000,0
1338,2018/12/13,2,6,23,25,30,31,35,1,200000000,10000000
1337,2018/12/10,3,6,21,28,29,34,15,4,55160000,0
1336,2018/12/6,4,5,11,19,31,34,43,2,108010000,0
1335,2018/12/3,10,16,19,34,35,39,4,4,62230000,0
1334,2018/11/29,1,2,7,14,29,43,40,1,259570000,0
1333,2018/11/26,2,9,15,22,26,35,5,1,200000000,20000000
1332,2018/11/22,5,15,18,22,33,40,6,2,249250000,0
1331,2018/11/19,2,14,30,31,38,39,26,0,0,200000000
1330,2018/11/15,2,19,24,32,36,43,30,1,276650000,0
1329,2018/11/12,11,15,18,22,37,42,31,1,200000000,30000000
1328,2018/11/8,7,9,23,32,37,40,41,2,115970000,0
1327,2018/11/5,2,3,13,22,23,30,27,2,115030000,0
1326,2018/11/1,2,3,9,12,30,41,21,2,238580000,0
1325,2018/10/29,8,18,23,26,33,38,34,0,0,200000000
1324,2018/10/25,1,7,8,17,25,42,11,3,168280000,0
1323,2018/10/22,5,6,10,24,29,40,26,0,0,300000000
1322,2018/10/18,2,3,13,28,32,37,7,1,200000000,30000000
1321,2018/10/15,10,24,31,40,41,43,33,2,127190000,0
1320,2018/10/11,4,6,12,16,17,34,28,2,227400000,0
1319,2018/10/8,9,10,19,21,28,30,43,0,0,200000000
1318,2018/10/4,2,3,7,14,19,41,34,2,242180000,0
1317,2018/10/1,6,10,13,19,32,43,22,0,0,200000000
1316,2018/9/27,6,16,26,35,36,39,14,3,92140000,0
1315,2018/9/24,3,8,23,30,32,40,31,1,200000000,30000000
1314,2018/9/20,3,10,20,21,27,33,39,3,91650000,0
1313,2018/9/17,5,12,21,31,36,43,27,1,200000000,40000000
1312,2018/9/13,13,24,25,26,32,39,6,2,120470000,0
1311,2018/9/10,12,23,26,29,36,37,15,3,335970000,0
1310,2018/9/6,9,24,25,27,34,36,14,0,0,700000000
1309,2018/9/3,24,32,34,36,41,43,23,1,600000000,400000000
1308,2018/8/30,6,9,10,15,34,39,3,0,0,700000000
1307,2018/8/27,6,25,27,28,30,43,14,1,600000000,400000000
1306,2018/8/23,7,11,23,36,38,41,37,1,600000000,600000000
1305,2018/8/20,4,6,19,36,38,40,28,0,0,900000000
1304,2018/8/16,6,25,30,38,40,42,17,1,600000000,600000000
1303,2018/8/13,7,10,24,33,35,42,43,0,0,800000000
1302,2018/8/9,4,7,25,30,34,43,38,0,0,500000000
1301,2018/8/6,6,7,9,16,30,41,22,0,0,300000000
1300,2018/8/2,3,18,25,26,32,33,27,1,200000000,20000000
1299,2018/7/30,3,12,24,28,38,39,10,2,259380000,0
1298,2018/7/26,4,6,15,22,30,42,7,0,0,300000000
1297,2018/7/23,1,2,7,29,34,42,41,1,200000000,30000000
1296,2018/7/19,5,11,15,16,23,32,4,3,84250000,0
1295,2018/7/16,14,23,31,37,39,43,32,1,200000000,30000000
1294,2018/7/12,7,14,18,26,28,39,2,1,258110000,0
1293,2018/7/9,2,5,15,27,30,35,11,1,200000000,30000000
1292,2018/7/5,1,18,29,30,31,37,35,3,78780000,0
1291,2018/7/2,2,6,8,12,13,17,1,1,506880000,0
1290,2018/6/28,18,24,27,32,35,41,10,0,0,200000000
1289,2018/6/25,6,9,16,24,29,37,3,1,522360000,0
1288,2018/6/21,8,9,19,24,35,43,11,0,0,200000000
1287,2018/6/18,9,21,23,34,37,38,40,2,161400000,0
1286,2018/6/14,11,32,37,39,41,42,43,1,200000000,50000000
1285,2018/6/11,7,8,13,36,38,42,6,3,280260000,0
1284,2018/6/7,4,14,17,21,24,39,7,0,0,500000000
1283,2018/6/4,1,26,27,30,37,38,4,0,0,300000000
1282,2018/5/31,1,4,10,11,24,28,29,4,51360000,0
1281,2018/5/28,3,7,9,15,29,40,17,1,571520000,0
1280,2018/5/24,1,9,11,21,29,36,7,1,600000000,300000000
1279,2018/5/21,4,10,16,17,20,24,31,0,0,600000000
1278,2018/5/17,3,4,18,28,34,36,6,0,0,300000000
1277,2018/5/14,12,16,20,22,31,43,33,1,200000000,50000000
1276,2018/5/10,5,6,9,11,16,35,22,1,276630000,0
1275,2018/5/7,7,19,21,28,40,41,3,1,200000000,50000000
1274,2018/5/3,3,15,18,23,31,37,34,9,206740000,0
1273,2018/4/30,18,20,22,26,34,37,4,0,0,1500000000
1272,2018/4/26,4,9,13,32,37,38,42,0,0,1100000000
1271,2018/4/23,1,11,14,27,39,42,32,1,600000000,700000000
1270,2018/4/19,9,10,24,30,35,40,38,0,0,900000000
1269,2018/4/16,9,10,11,33,39,42,25,0,0,600000000
1268,2018/4/12,8,11,15,22,35,36,30,0,0,300000000
1267,2018/4/9,4,18,31,33,34,41,9,1,200000000,70000000
1266,2018/4/5,3,12,16,23,25,28,17,3,168670000,0
1265,2018/4/2,5,20,26,27,28,33,12,1,600000000,300000000
1264,2018/3/29,1,6,27,33,35,43,15,0,0,500000000
1263,2018/3/26,3,8,13,14,31,37,6,1,600000000,200000000
1262,2018/3/22,4,11,15,20,24,43,10,0,0,500000000
1261,2018/3/19,9,20,26,29,30,34,42,0,0,200000000
1260,2018/3/15,3,8,16,19,25,26,32,2,281940000,0
1259,2018/3/12,10,16,20,26,33,36,41,0,0,300000000
1258,2018/3/8,8,14,20,25,31,41,35,1,200000000,30000000
1257,2018/3/5,1,11,19,23,32,37,14,2,303280000,0
1256,2018/3/1,2,5,16,32,35,41,25,0,0,300000000
1255,2018/2/26,2,14,15,27,40,43,41,1,200000000,50000000
1254,2018/2/22,7,8,11,15,36,39,37,2,266500000,0
1253,2018/2/19,1,12,14,24,33,37,15,1,600000000,300000000
1252,2018/2/15,4,15,18,19,22,29,37,0,0,500000000
1251,2018/2/12,21,28,31,33,34,40,23,0,0,300000000
1250,2018/2/8,3,10,18,22,23,40,27,1,200000000,20000000
1249,2018/2/5,5,8,15,20,25,27,6,3,82410000,0
1248,2018/2/1,2,6,14,28,34,37,3,1,200000000,20000000
1247,2018/1/29,4,7,17,18,26,36,35,3,78480000,0
1246,2018/1/25,4,10,11,23,36,37,34,4,208130000,0
1245,2018/1/22,13,15,27,30,31,39,8,0,0,500000000
1244,2018/1/18,10,15,17,18,20,41,35,0,0,200000000
1243,2018/1/15,23,24,32,37,41,42,29,1,322890000,0
1242,2018/1/11,12,22,28,34,37,42,33,1,200000000,50000000
1241,2018/1/8,4,7,15,17,23,25,8,1,573170000,0
1240,2018/1/4,15,18,22,36,37,39,26,0,0,300000000
1239,2017/12/28,2,19,27,28,30,38,22,1,200000000,50000000
1238,2017/12/25,8,14,28,29,33,40,32,2,277200000,0
1237,2017/12/21,1,4,6,35,38,40,27,0,0,200000000
1236,2017/12/18,1,3,11,26,38,39,34,2,403850000,0
1235,2017/12/14,8,17,24,34,36,42,33,0,0,500000000
1234,2017/12/11,7,11,16,20,30,40,28,0,0,200000000
1233,2017/12/7,2,7,12,21,29,33,16,1,269540000,0
1232,2017/12/4,5,10,14,31,35,38,16,1,200000000,40000000
1231,2017/11/30,1,14,16,24,32,36,2,1,494240000,0
1230,2017/11/27,1,2,6,9,17,38,34,1,600000000,200000000
1229,2017/11/23,10,28,35,37,39,43,16,0,0,500000000
1228,2017/11/20,6,18,19,25,28,40,3,0,0,200000000
